sector,camera,ccd,cut,objid,eventid,xccd,yccd,snr_psf,psf_like,psf_stacked,frame_duration,variable,gaia_id,gaia_color,dx,dy
36,4,2,37,31,31,1091,1024,32.75325,0.9971659,1,11,1,5480287839161966080,1.273202,0.02896163,0.008928338
36,4,2,37,31,155,1091,1024,26.56268,0.9975087,1,11,1,5480287839161966080,1.273202,0.03710005,0.02786927
36,4,2,37,40,62,1146,1202,25.9786,0.9942692,1,8,0,5483257963665864832,1.776269,-0.08652501,0.09530939
36,4,2,37,519,1,1149,1168,29.22512,0.9979726,0,7,0,5483251740257142912,3.130976,-0.0404699,-0.007630817
36,4,2,37,649,1,1278,1274,19.76456,0.9957558,1,7,0,5484262466320692864,2.842678,0.02249385,-0.06025097
36,4,2,37,649,2,1278,1274,14.29521,0.9948814,1,5,0,5484262466320692864,2.842678,0.003533857,-0.008052701
36,4,2,38,534,2,1370,1131,12.64115,0.9788424,0,5,1,5484309990135065728,1.814078,0.02723591,-0.02612319
36,4,2,38,731,1,1494,1157,4.682674,0.9534411,1,4,0,5484589227432332800,1.41551,-0.03987638,0.02142709
36,4,2,38,736,1,1385,1028,10.08745,0.9925475,1,4,0,5483679317137381248,2.746059,-0.04274268,0.04747264
36,4,2,39,2,193,1663,1250,73.15357,0.9967665,1,10,1,5496740999879096320,0.975461,0.006115956,-0.02594656
36,4,2,39,2,194,1663,1250,67.89181,0.9958442,1,9,1,5496740999879096320,0.975461,0.01809861,-0.009648302
36,4,2,39,2,201,1663,1250,65.19825,0.9984554,1,11,1,5496740999879096320,0.975461,0.01811139,-0.00802007
36,4,2,39,2,264,1663,1250,30.64418,0.9759146,1,10,1,5496740999879096320,0.975461,-0.04608812,-0.00879752
36,4,2,39,2,271,1663,1250,57.41064,0.9906424,1,9,1,5496740999879096320,0.975461,-0.008799479,-0.03680417
36,4,2,39,2,309,1663,1250,57.27272,0.9927169,1,10,1,5496740999879096320,0.975461,0.01813257,-0.01796537
36,4,2,39,2,310,1663,1250,46.07598,0.9916293,1,9,1,5496740999879096320,0.975461,0.01811848,-0.04237875
36,4,2,39,57,230,1598,1081,32.11775,0.9991981,1,11,1,5484758316001421952,0.839284,-0.03584257,0.07828269
36,4,2,39,321,7,1651,1157,15.31247,0.9828674,1,3,0,5496706571421193984,2.755366,-0.0269777,0.0187825
36,4,2,39,692,1,1814,1280,9.86705,0.9890147,0,2,0,5497771860749716096,3.941037,0.01287127,-0.07598702
36,4,2,39,692,2,1814,1280,8.025066,0.9731419,1,4,0,5497771860749716096,3.941037,0.1102313,-0.02419527
36,4,2,39,692,3,1814,1280,17.02612,0.9945669,0,2,0,5497771860749716096,3.941037,0.05933367,-0.02420679
36,4,2,39,880,1,1687,1236,46.30617,0.998797,0,13,0,5496747081552620928,2.87212,-0.06262189,0.01485485
36,4,2,39,880,2,1687,1236,26.48089,0.9937032,1,8,0,5496747081552620928,2.87212,-0.04071821,-0.00447411
36,4,2,39,885,1,1800,1258,9.244311,0.9941442,1,7,0,5497022784093514368,2.337045,-0.06559494,-0.03889278
36,4,2,39,929,1,1715,1130,21.76867,0.9966267,0,9,0,5496765189134802176,2.172152,-0.03439395,0.04324835
36,4,2,40,87,13,1927,1079,16.92011,0.9728969,1,10,0,5497162108535782016,0.79726,-0.05060911,0.01334827
36,4,2,40,87,17,1927,1079,18.02544,0.9822849,1,8,0,5497162108535782016,0.79726,-0.09228831,0.01998378
36,4,2,40,170,206,2056,1044,41.84657,0.99465,1,13,1,5498007431115687680,0.638822,-0.00805112,-0.03581257
36,4,2,40,607,1,2040,1259,8.816278,0.9621884,1,10,0,5498125113219620224,2.884692,-0.0121383,0.0174455
36,4,2,40,607,6,2040,1259,12.70818,0.9886239,0,6,0,5498125113219620224,2.884692,-0.04463126,-2.144261e-05
36,4,2,40,685,1,2017,1227,21.54364,0.9961085,0,11,0,5498079444830712960,2.876077,-0.02082902,-0.003030176
36,4,2,41,17,337,67,1529,19.30103,0.9920016,1,6,1,5283702886760039424,0.504325,-0.06145374,0.09844856
36,4,2,41,44,10,192,1310,81.75428,0.992383,1,21,1,5285349822037246464,0.44801,-0.1119618,0.0224475
36,4,2,41,44,50,192,1310,70.63822,0.9959164,1,21,1,5285349822037246464,0.44801,-0.06868081,0.01790166
36,4,2,41,401,3,231,1487,13.97656,0.9910297,1,9,0,5284647783862718464,2.786021,-0.01351234,-0.02485846
36,4,2,41,564,1,58,1461,8.166891,0.9854208,1,7,0,5283740308813675392,3.078663,0.05897503,0.09674025
36,4,2,41,586,1,97,1392,13.3523,0.9879419,1,7,0,5283815517982844416,2.753622,0.09355299,0.01141012
36,4,2,41,609,1,210,1387,9.100845,0.9251912,1,9,0,5284611912295716224,2.27682,0.1259817,0.09491587
36,4,2,41,609,2,210,1387,6.606728,0.889124,1,5,0,5284611912295716224,2.27682,0.1259652,0.09487469
36,4,2,41,810,1,120,1278,9.191304,0.9741877,1,4,0,5285282064632879872,1.27724,0.1294627,-0.0547848
36,4,2,41,810,2,120,1278,31.76357,0.9976638,1,7,0,5285282064632879872,1.27724,0.03390816,0.0124306
36,4,2,41,810,3,120,1278,28.92213,0.9980179,0,8,0,5285282064632879872,1.27724,0.04293078,0.02812364
36,4,2,41,816,1,54,1368,6.824066,0.9699574,0,6,0,5283753056276818560,1.60739,-0.0897255,-0.1120511
36,4,2,41,844,2,257,1525,19.10265,0.9966698,1,21,1,5284758250422212864,2.101223,0.03766715,-0.05948515
36,4,2,41,844,3,257,1525,11.90471,0.9921894,1,3,1,5284758250422212864,2.101223,-0.02139801,0.00264167
36,4,2,41,845,1,214,1469,5.883659,0.9672481,0,3,0,5284636990607194496,2.409978,-0.06868012,0.1035198
36,4,2,41,856,1,119,1491,8.259912,0.9733451,1,4,0,5284555665403883392,2.984835,-0.0354445,0.04494043
36,4,2,42,3,205,463,1514,68.41785,0.9960982,1,9,1,5477170272723435136,1.09846,-0.06825424,-0.04548448
36,4,2,42,3,206,463,1514,44.89366,0.9931419,1,8,1,5477170272723435136,1.09846,-0.06765507,-0.05916699
36,4,2,42,3,211,463,1514,80.29856,0.9958221,1,10,1,5477170272723435136,1.09846,-0.07464056,-0.04797161
36,4,2,42,3,212,463,1514,40.28801,0.9948452,1,8,1,5477170272723435136,1.09846,-0.04377708,-0.06867148
36,4,2,42,3,245,463,1514,89.45434,0.9962261,1,10,1,5477170272723435136,1.09846,-0.08484175,-0.02962695
36,4,2,42,3,246,463,1514,52.86681,0.9945262,1,8,1,5477170272723435136,1.09846,-0.09269554,-0.02115229
36,4,2,42,477,2,517,1426,11.02849,0.9647048,1,6,0,5477185189146915328,2.824368,-0.0057336,0.1120459
36,4,2,42,568,1,463,1355,7.168718,0.9827549,1,4,0,5477131038199369344,2.44374,-0.02148593,-0.04146826
36,4,2,42,568,2,463,1355,11.69775,0.9863717,1,7,0,5477131038199369344,2.44374,0.01447653,0.03565419
36,4,2,42,646,1,529,1338,5.766154,0.9639561,0,3,0,5477202403375800960,2.776641,0.01819794,-0.09469267
36,4,2,43,26,14,762,1498,7.728694,0.9816392,1,7,0,5478490275089679360,2.831354,0.02535493,-0.1367621
36,4,2,43,42,15,696,1465,185.3471,0.9986176,1,34,1,5478238723148169344,0.544708,-0.05121673,-0.01127624
36,4,2,43,42,22,696,1465,156.8437,0.9989753,1,31,1,5478238723148169344,0.544708,-0.03376564,-0.01117328
36,4,2,43,42,44,696,1465,135.3227,0.9975901,1,30,1,5478238723148169344,0.544708,-0.0304022,-0.02717051
36,4,2,43,53,165,600,1391,24.45682,0.9914237,1,12,1,5477422099543150592,0.012603,0.001107692,-0.05314579
36,4,2,43,53,166,600,1391,60.50637,0.9944188,1,14,1,5477422099543150592,0.012603,0.001114508,-0.04778777
36,4,2,43,53,172,600,1391,26.82921,0.9894598,1,8,1,5477422099543150592,0.012603,0.00106876,0.01129643
36,4,2,43,53,181,600,1391,53.95929,0.9942917,1,10,1,5477422099543150592,0.012603,0.001114107,-0.05268558
36,4,2,43,53,188,600,1391,65.51834,0.9959365,1,12,1,5477422099543150592,0.012603,0.001112442,-0.04894247
