objid,eventid,classification,sector,camera,ccd,cut,xcentroid,ycentroid,xcentroid_err,ycentroid_err,xint,yint,xccd,yccd,xcentroid_det,ycentroid_det,xcentroid_psf,ycentroid_psf,ra,dec,ra_err,dec_err,gal_l,gal_b,frame_start,frame_end,frame_max,frame_duration,mjd_start,mjd_end,mjd_max,mjd_duration,flux_max,mag_min,flux_sign,image_sig_max,lc_sig_max,lc_sig_med,lc_flat,snr_psf,psf_like,psf_diff,psf_stacked,com_motion,gaussian_score,ellipticity,fwhm,neg_extent,bad_frame_flag,known_asteroid_designation,known_asteroid_dist_px,known_asteroid_frame,source_mask,gaia_id,nearest_gaia_id,nearest_gaia_dx,nearest_gaia_dy,crossbin_ids,asteroid_id,n_detections,total_events,frame_bin,TSS Catalogue
47,4,-,55,1,1,17,137.2222222208944,131.4774000017904,0.1112321169405355,0.112991413489908,137,131,181,638,137.41960191847923,131.38961588807445,137.2222222208944,131.4774000017904,330.10976156888955,15.530543616622944,0.0006134949962781,0.0006078398585466,73.5498160061162,-30.503332333006583,2739,2746,2739,8,59823.30030632302,59823.348917153286,59823.30030632302,0.0486108302648062,53.194798,-4.314673,1,6.708748670863708,16.887466430664062,7.486237525939941,1,24.940692011092512,0.9336723020446904,0.4152701107833393,0,0.0130922877161105,0.8076654475654809,0.2910565633434986,2.749871110512519,1.813281017280028,0,,,,9.0,-,1769529691343851136,0.0177348276053521,-0.3294650481492454,[],-1,7,4,1,TSS 220026.34+153149.96
304,1,-,55,1,1,22,11.491292454254252,93.99085401985226,0.111594275148575,0.1135736824970071,11,94,1330,601,11.48733517342589,94.06450248456912,11.491292454254252,93.99085401985226,323.70733592766203,13.820357402039786,0.0006432283019539,0.0006335356812586,67.29185683525792,-27.150044155014204,636,641,636,6,59801.029335814026,59801.0640587526,59801.029335814026,0.0347229385733953,48.49032,-4.2141376,1,6.484736897713374,20.00827407836914,7.461228847503662,1,23.48798840311572,0.992343333296892,0.1534208726295345,0,0.0,0.7800497258201331,0.3577119338689601,2.8168037911585198,0.6033517611109488,0,,,,9.0,-,1770391948978665472,0.5132996437293968,0.1388201607177279,[3560],-1,6,1,1,TSS 213449.76+134913.29T59801
692,1,-,55,1,1,23,37.11111107839024,31.436789587934506,0.1402479142077002,0.1530027688581324,37,31,1612,538,37.2931751532365,31.61058318312544,37.11111107839024,31.436789587934506,322.0088536942585,13.635434697634588,0.0008169446726083,0.0008496594678032,65.94018727730177,-26.01186365079324,1345,1347,1345,3,59811.626723817135,59811.64061279102,59811.626723817135,0.0138889738882426,20.582264,-3.283733,1,4.219027469266547,10.172094345092772,6.796311855316162,1,11.015215578019838,0.94674289048714,0.4147197212788586,0,0.2722702899725352,0.7384418272744389,0.2596912173982618,2.1633577862630795,0.6556087025953447,0,,,,0.0,-,1771068281773175808,-0.1633951108540259,-0.0226435701425771,[],-1,3,1,1,TSS 212802.12+133807.56T59811
776,1,-,55,1,1,24,197.99203128081356,60.265980796182106,0.1247681479239647,0.1326285501009949,198,60,2024,567,197.8269848613255,60.27037075233179,197.99203128081356,60.265980796182106,319.7620711355929,12.70021601482511,0.0007251955283207,0.0007441510760271,63.60901047159395,-24.902557545417167,1981,1983,1982,3,59816.04339767933,59816.057286544725,59816.05034211179,0.0138888653964386,20.154732,-3.2609427,1,3.898108580804569,10.283298,7.3195634,1,13.409308032218034,0.9669794850590466,0.3086945549607224,1,0.0179121295950997,0.7794235980482486,0.2190580425419221,2.6827533417280827,0.5283374151984025,0,,,,0.0,-,1746743996485780096,0.5155780843911089,-0.3890732598479189,[],-1,3,1,1,TSS 211902.90+124200.78T59816
587,1,-,55,1,1,25,93.23579423956288,227.75516966114867,0.1115102765641931,0.1134393449170891,93,228,137,991,93.08378216167816,227.8309332057377,93.23579423956288,227.75516966114867,331.0210755129451,13.757646404673348,0.0006156660425738,0.0006218352399777,72.82689429248828,-32.384869351380964,1367,1371,1367,5,59811.77950249827,59811.80728043208,59811.77950249827,0.0277779338139225,47.781944,-4.1981597,1,6.235099804790312,23.651296615600582,10.312922477722168,1,23.788735547494102,0.9839606670897976,0.2031091208629288,0,0.1417770752821653,0.8243151629721417,0.2006995119142001,2.4043270251077367,0.0,0,,,,0.0,-,1768270028975347968,-0.0230236834455865,0.17641514446575,[3675],-1,5,1,1,TSS 220405.06+134527.53T59811
802,2,-,55,1,1,34,25.847560713879872,111.01114688531834,0.1109484876185338,0.1125290585263606,26,111,321,1130,26.056536666204007,110.9485641290412,25.847560713879872,111.01114688531834,330.3004751622525,12.730017241290636,0.0006197737443906,0.0006256856156422,71.37658569891443,-32.61254833694677,1509,1510,1509,2,59812.7656179328,59812.77256240018,59812.7656179328,0.0069444673863472,40.668713,-4.023151,1,5.667446498609451,16.192935943603516,13.27321434020996,1,26.464625472350388,0.98558586974185,0.1929984126090604,1,0.0734320736961069,0.8100331807998062,0.3568989384165233,2.8525730499942856,0.6270637702852131,0,,,,0.0,-,2728565136575077888,-0.1280493804669049,-0.0434405509990938,[4616],-1,2,2,1,TSS 220112.11+124348.06
1075,1,-,55,1,1,36,7.03762560856674,197.755229121404,0.1445294528777309,0.1584391056519408,7,198,814,1217,6.995846224384096,197.6509064031832,7.03762560856674,197.755229121404,327.778189581614,11.436662926039606,0.0008352967665418,0.0008924814274995,68.26683196021928,-31.703990927102517,2280,2284,2280,5,59818.14755813553,59818.17533579833,59818.14755813553,0.0277776627990533,41.58255,-4.047278,1,5.796539110968761,16.503622,5.7423306,1,10.607632561862095,0.8718522792869562,0.6858070869676439,0,0.0,0.5770707858428947,0.5033878890910694,2.520805868402387,1.525532841682434,0,,,,0.0,-,1766032209280506496,-0.384236667759751,0.5094989254528173,[4151],-1,3,4,1,TSS 215106.77+112611.99
736,1,-,55,1,1,38,16.86669317137422,199.64406666541132,0.1187240025593823,0.1242088121645457,17,200,1336,1219,16.835279396207913,199.4274031970705,16.86669317137422,199.64406666541132,324.8887539435682,10.491061286202775,0.0006932906225208,0.0007109660049683,65.26009451896718,-30.189986412706418,1023,1025,1023,3,59808.47390654295,59808.48779564164,59808.47390654295,0.0138890986927435,54.539722,-4.3417826,1,6.627690138494366,13.66591453552246,8.555633544921875,1,15.399908319477849,0.9676240136062344,0.3576390886283385,0,0.0694621058728073,0.8713701644359534,0.2100242466274328,2.683139305290482,0.7216801741488644,0,,,,0.0,-,1741746372539946112,-0.1574603038586701,-0.1189054479646074,[3987],-1,3,2,1,TSS 213933.30+102927.82
358,1,-,55,1,1,41,33.877435835812506,41.03734765199319,0.1103920789828851,0.1115990083755718,34,41,78,1316,33.79515772670098,41.1978222986772,33.877435835812506,41.03734765199319,331.951038190705,12.126009845899864,0.0006074837211013,0.0006197834640264,72.22365824131529,-34.18191397257664,851,854,852,4,59802.52242084645,59802.54325457272,59802.52936542188,0.0208337262665736,67.24502,-4.56915,1,7.409766736160458,20.822088,11.193954,1,31.797343773099257,0.989746129119904,0.1473555631988714,0,0.0085942097929838,0.902853740088854,0.2678983383130408,2.865006059048263,0.2570564881875252,0,,,,8.0,-,2728620696271512832,-0.1380449598530759,-0.0006361578098221,[3192],-1,4,4,1,TSS 220748.25+120733.64
947,2,-,55,1,1,43,173.08319289087612,183.47740000000005,0.1743169353944595,0.1948579767188732,173,183,724,1458,173.3819413357606,183.1697591872937,173.08319289087612,183.47740000000005,328.7361061091236,10.28263078968477,0.0010071611298589,0.0011024621149018,68.00340798967777,-33.176189974611134,2741,2759,2751,19,59823.3141951316,59823.439194407445,59823.38363917451,0.1249992758457665,19.596632,-3.2304537,1,3.477157977428482,10.119393,4.616777,1,8.81432432262405,0.8760558753312703,0.6246628247743922,0,0.2032838890109876,0.4535385804831656,0.115640696320496,2.640381637310264,0.8743692636489868,0,,,,0.0,-,2726464313451362816,-0.2036316976229955,-0.3076428707422565,[4801],-1,15,3,1,TSS 215456.67+101657.47
782,1,-,55,1,1,47,115.44444444339273,48.47739999486284,0.1433004259313518,0.1568854599690172,115,48,1690,1323,115.12199081830391,49.13481663539351,115.44444444339273,48.47739999486284,323.1133687835712,9.25371744254809,0.0008472961863666,0.0009022066347845,62.87680568697477,-29.622238373948235,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,33.205128,-3.8030128,1,4.685403339542357,12.609653,10.824062,1,10.71824298827982,0.8973182942388118,1.0518549459490925,1,0.30219850542335,0.717961996608504,0.4758051662928446,3.03996991899669,1.7670898347587327,0,,,,8.0,-,1741168682258722304,1.3628310240712835,-0.3842810768614981,[1842],-1,2,1,1,TSS 213227.21+091513.38T59820
785,1,-,55,1,1,47,221.27447659811045,114.47766918856512,0.139073425076382,0.1514991817827893,221,114,1796,1389,221.4989819055348,114.8671482116618,221.27447659811045,114.47766918856512,322.6510022334905,8.689188565405466,0.0008231373376843,0.0008742851432458,62.04157183649069,-29.614632184531345,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,28.834713,-3.649789,1,5.175214964603324,11.3223505,10.8579235,1,11.13907205931215,0.7869044102463182,1.0512523704107748,1,0.2254881693622116,0.7496115099913413,0.4324090251062409,2.5291822510323336,1.4217629717876878,0,,,,9.0,-,1741048594973306240,1.0688211530627996,1.0495446112831814,[1847],-1,2,1,1,TSS 213036.24+084121.08T59820
505,2,-,55,1,1,48,102.84578162825116,110.5943281655722,0.1099554458293485,0.1108263721847813,103,111,1929,1386,102.78840134368616,110.57473836510373,102.84578162825116,110.5943281655722,321.90189447895693,8.455024918777973,0.0006451900335691,0.0006453188234628,61.3072841705196,-29.17390308544739,1578,1584,1579,7,59813.24478594508,59813.28645270842,59813.25173040548,0.0416667633471661,125.3285,-5.245125,1,10.718580781921291,47.08185,17.482683,1,49.894621036595495,0.9955577744518308,0.1207188768159281,0,0.0187819136804975,0.9289084548426206,0.3317151624251815,2.970228080403618,0.2305397309611495,0,,,,0.0,-,1740270273884984704,-0.0969327088803311,-0.0565525835147582,[2297],-1,7,2,1,TSS 212736.45+082718.09
138,2,-,55,1,1,49,247.55871165275312,195.566581652648,0.1453949689457974,0.1595300931025078,248,196,292,1727,247.98835969022065,195.7824898836835,247.55871165275312,195.566581652648,331.579188473107,9.56886758428378,0.0008184250304849,0.0008988506090251,69.68454752219893,-35.71212188442631,2704,2708,2705,5,59823.05725217352,59823.08502978976,59823.06419657759,0.0277776162329246,19.07364,-3.2010841,1,3.77091825626058,10.529510498046877,5.992873191833496,1,10.53248865338958,0.9059551426439268,0.4572350250481582,1,0.3710175744639617,0.6962137550144901,0.5779309585058499,3.446598356178486,1.2472708225250244,0,,,,0.0,-,2725430978679659520,-0.1269693896513217,0.1048715951746999,[],-1,4,2,1,TSS 220619.01+093407.92
176,2,-,55,1,1,53,178.1111179218883,60.8663300477253,0.1457018232828314,0.1599162784383834,178,61,1241,1592,178.4513674941378,60.60543881417746,178.1111179218883,60.8663300477253,326.14203419441304,8.622279894885287,0.0008559793066596,0.0009198411508571,64.51569907089689,-32.33820406013417,1321,1322,1321,2,59811.46005607549,59811.46700056663,59811.46005607549,0.0069444911350728,19.909588,-3.2476556,1,4.223417032135628,13.898064,8.521259,1,10.506366379332524,0.7993032339134004,1.6390546343668286,0,0.0,0.2415864971529623,0.605522268173887,1.108260461397042,2.415332078933716,0,,,,4.0,-,2702037421394089600,0.0384547231328724,0.2004748032554744,[],-1,2,2,1,TSS 214434.09+083720.21
